,Population,Fertility,Ch_mortality,Literacy,Gini,Energy_use,Gov_exp,Human_rights,Life_expectancy,Avg_years_school,Political_regime,Gdp_per_capita,Internet,Sanitation,Extreme_poverty,Electricity,Water,Subnutrition,Corruption,Taxes
Paraguay,7045000.0,2.4,2.1,95.53611,48.0,9172.460307261983,19.351189,0.696920668,74.25399999999999,8.4,9.0,8827.01005811482,61.0757562215797,88.6,1.7,98.4,98.0,11.2,29.0,11.013065
Peru,32510000.0,2.31,1.5,94.374352,44.3,8928.229018077927,20.19237,0.740837126,76.736,9.2,9.0,12236.7061519677,48.7276314608234,76.2,3.5,94.85174560546879,86.7,8.8,35.0,12.991545
Philippines,108117000.0,2.84,2.8100000000000005,96.618027,40.1,5538.726146302671,20.69499,-2.131015039,71.23100000000001,9.3,8.0,7599.188060403871,55.5,73.9,,90.9816131591797,91.8,13.7,36.0,14.239059
Poland,37888000.0,1.29,0.47,99.78742199999999,32.1,28961.100653833764,46.3721,1.8155051930000001,78.73,12.3,10.0,27216.4448774425,75.98536594938321,97.2,,100.0,98.3,,60.0,33.786184999999996
Portugal,10226000.0,1.24,0.3700000000000001,95.428108,35.6,24791.460353254828,52.54629,1.939209809,82.04899999999999,9.2,10.0,27936.8960928735,73.7912139515729,99.7,0.5,100.0,100.0,,64.0,34.43338
Puerto Rico,2933000.0,1.46,,93.329422,,,,,80.104,,,35044.669705783504,68.64,99.3,,100.0,93.6,,,
Qatar,2832000.0,1.85,0.76,97.757088,,215883.81615460425,31.96960605,1.671422665,80.227,9.8,-10.0,116935.600359799,94.29111815498959,98.0,,100.0,100.0,,62.0,4.3305
Reunion,889000.0,2.24,,,,,,,80.484,5.48,,,,,,,,,,
Romania,19365000.0,1.55,0.78,98.75702700000001,27.5,18511.09487533242,36.91435,0.9366755390000001,76.054,11.0,9.0,23313.199343185097,63.747282182248405,79.1,5.7,100.0,100.0,,47.0,25.729223
Russia,145872000.0,1.77,0.76,99.719566,37.7,57485.642268005264,37.144233,-1.232211867,72.584,12.0,4.0,24765.953633626097,76.0081385339105,72.2,0.0,100.0,96.9,2.6,28.0,31.282231
Rwanda,12627000.0,3.67,3.79,71.2435,50.4,,27.42494539,-0.670644255,69.024,4.1,-3.0,1854.2107908736102,20.0,61.6,56.0,29.37,76.1,36.1,56.0,13.616366000000001
Sao Tome and Principe,215000.0,4.27,3.24,91.747108,30.8,3137.4424436392237,49.57557252,3.331958707,70.385,6.3,,3052.7137431968604,28.0,34.7,32.3,65.4404830932617,97.1,10.2,46.0,12.095381
Saudi Arabia,34269000.0,2.42,0.7400000000000001,94.84236899999999,,80679.992775059,35.39891551,-0.9957588279999999,75.133,9.5,-10.0,49045.4112618159,80.0757586183677,100.0,,100.0,97.0,5.5,49.0,3.3848339999999997
Senegal,16296000.0,4.55,4.54,55.624851,40.3,3164.313681505661,30.15218017,0.7960116220000001,67.941,3.0,7.0,2470.57958207519,25.664768041395302,47.6,38.0,64.5,78.5,11.3,45.0,15.920231
Serbia,8772000.0,1.63,0.5700000000000001,98.002892,29.1,21625.1579633959,46.64110501,,76.001,11.1,8.0,14048.8806366748,70.3308355269141,96.4,,100.0,99.2,5.6,39.0,36.135177
Sierra Leone,7813000.0,4.17,11.05,48.4319,34.0,,23.85263444,0.5403447929999999,54.696000000000005,3.5,7.0,1390.3002674848199,11.77318438,13.3,52.2,20.3,62.6,25.5,30.0,10.988466
Singapore,5804000.0,1.27,0.28,96.774628,,59566.584215218165,17.13189794,1.7003658869999998,83.62,11.5,-2.0,85535.3832002,84.4495387806342,100.0,,100.0,100.0,,85.0,14.273745000000002
Slovakia,5457000.0,,0.5599999999999999,99.599998,26.1,34932.61487838508,39.74269371,1.812497515,77.542,12.5,10.0,30155.1521229863,81.6256675172655,98.8,0.7,100.0,100.0,2.7,50.0,32.9519
Slovenia,2079000.0,1.65,0.21,99.71476,25.7,36923.76816243608,48.48536159,3.1571186160000004,81.324,12.2,10.0,31400.8395120955,78.8854263554775,99.1,0.0,100.0,99.5,,60.0,36.254333
Solomon Islands,670000.0,3.69,2.06,84.099998,37.0,1509.9606442974834,51.56960437,3.757369267,72.99600000000001,5.5,8.0,2205.9232048079602,11.000902271205002,29.8,25.1,47.91914367675779,80.8,12.3,44.0,27.552445000000002
Somalia,15443000.0,5.98,12.72,37.799999,,,,-1.739184553,57.397,2.1,5.0,,1.88,23.5,,29.890317916870103,31.7,,10.0,1.571268
South Africa,58558000.0,2.38,3.71,94.597939,63.4,31351.383671316373,34.59851,-1.061342789,64.131,10.1,9.0,12294.8761402351,54.0,66.4,18.9,84.2,93.2,6.1,43.0,29.150621
South Korea,51225000.0,1.35,0.33,97.965942,31.6,62957.235572939055,22.497384,1.228568362,83.03299999999999,12.1,8.0,35938.3742161469,95.097149170151,100.0,0.2,100.0,97.6,,57.0,26.899583000000003
South Sudan,11062000.0,4.62,9.64,31.97625,46.3,706.2456544206034,,-2.592480777,57.846000000000004,4.8,0.0,1569.88834552626,6.6797280510287,6.7,42.7,8.94762802124023,58.7,,13.0,
Spain,46737000.0,1.41,0.31000000000000005,98.11451,36.0,29904.69538936,46.295120000000004,1.191515174,83.565,9.8,10.0,34272.360383819105,84.60224570165249,99.9,1.0,100.0,100.0,,58.0,33.581093
Sri Lanka,21324000.0,2.01,0.8800000000000001,92.614166,39.2,5997.413674835108,26.84604863,-0.526460575,76.97800000000001,10.9,6.0,11669.0766785045,32.0510027436177,95.1,0.7,95.5882339477539,95.6,10.9,38.0,12.713687
Sudan,42813000.0,4.35,6.32,58.601318000000006,35.4,4429.562770007655,19.18314833,-2.4705964540000003,65.311,3.7,-2.0,4466.5067547565895,28.0,23.6,14.9,38.5284423828125,55.5,25.2,16.0,5.478162
Suriname,581000.0,2.3,1.96,95.538986,57.6,14647.872165686034,27.89065633,1.194181517,71.682,8.5,5.0,13767.1185111168,45.4,79.2,23.4,87.1763153076172,94.8,7.6,43.0,15.462616
Swaziland,1148000.0,2.94,5.3900000000000015,87.470192,51.5,4321.278176864004,32.45486511,0.5590960429999999,60.193999999999996,6.5,-9.0,7738.97456607734,28.573522782768503,57.5,42.0,65.7902069091797,74.1,20.7,38.0,23.481853
Sweden,10036000.0,1.91,0.28,99.0,27.2,59345.396275772284,49.863368,2.83679292,82.79700000000001,12.4,10.0,46949.2830858792,96.4096452795113,99.3,0.5,100.0,100.0,,85.0,44.15605
Switzerland,8591000.0,1.56,0.42,99.0,32.5,34425.653518619554,33.871679,2.10741004,83.779,13.4,10.0,57410.1658575199,93.71386591012829,99.9,0.0,100.0,100.0,,85.0,28.451234999999997
Syria,17070000.0,2.77,,86.30393199999999,35.8,,27.41704949,-2.5585829369999997,72.697,5.1,-9.0,,,95.7,,,90.1,,13.0,10.538957
Taiwan,23774000.0,1.24,,96.099998,,,,2.7022075689999996,80.456,7.17,10.0,,,,,,,3.4,63.0,
Tajikistan,9321000.0,3.22,3.3600000000000003,99.781052,34.0,3900.5327903696666,27.54484032,-0.6889761059999999,71.097,10.4,-3.0,2896.91285075403,20.470000000055002,95.0,4.8,100.0,73.8,,25.0,19.783977
Tanzania,58005000.0,4.83,5.4,80.35949699999999,37.8,5529.215550440074,27.96692365,-0.255901211,65.456,5.8,3.0,2683.3040235534,13.0,15.6,49.1,32.8,55.6,32.0,36.0,11.826673
Thailand,69626000.0,1.44,0.95,93.983017,37.8,22906.839459043786,25.749489999999998,-1.2090872320000001,77.15,7.6,-3.0,16277.6711509397,52.8919293439676,93.0,0.0,100.0,97.8,9.0,36.0,17.301457
Timor,1293000.0,,4.760000000000002,64.066139,30.3,666.1483436669288,,1.0862685970000001,69.495,4.5,8.0,6570.101619397979,25.24624959,40.6,30.3,63.394138336181605,71.9,27.2,35.0,
Togo,8082000.0,4.26,7.290000000000001,66.53759000000001,43.0,5311.1209870360935,24.86778651,0.409906965,61.042,4.8,-2.0,1429.8134267459302,12.360224969290499,11.6,49.2,46.928375244140604,63.1,16.2,30.0,17.386082000000002
Trinidad and Tobago,1395000.0,1.72,2.6100000000000003,98.96958199999999,40.3,168015.6960796399,37.20741871,0.90690385,73.507,10.9,10.0,28763.0707623686,73.296941218486,91.5,3.4,100.0,95.1,4.9,41.0,26.147865
Tunisia,11695000.0,2.12,1.3,81.054192,35.8,10974.14983145949,36.57885575,0.101200869,76.699,7.2,7.0,10849.2973861625,55.5,91.6,2.0,100.0,97.7,4.9,43.0,29.614932
Turkey,83430000.0,2.0,1.16,95.688103,41.2,19268.623254843093,37.351279999999996,-1.62047259,77.691,8.0,3.0,25129.3406487777,64.6846176835371,94.9,0.2,100.0,100.0,,41.0,24.878386
Turkmenistan,5942000.0,2.74,4.73,99.692932,40.8,56911.259613324764,,-0.5674689070000001,68.191,9.8,-8.0,16389.023312833102,17.990324461341,62.7,51.4,100.0,60.4,5.5,20.0,20.373964
Uganda,44270000.0,5.32,4.9,73.809837,41.0,,21.689936,-0.351118825,63.368,6.1,-1.0,1697.70651058028,21.87617046,19.1,41.6,26.7,79.0,41.4,26.0,12.676283
Ukraine,43994000.0,1.58,0.8800000000000001,99.764107,25.5,27149.155727055484,47.59311839,-1.219281904,72.065,11.3,4.0,7894.392925785809,53.0,95.9,0.1,100.0,96.2,3.3,32.0,32.032291
United Arab Emirates,9771000.0,1.7,0.91,92.986366,,90356.20000271194,23.90840944,0.206362335,77.972,10.8,-8.0,67293.4827590288,94.8199225383446,97.6,,100.0,99.6,2.5,70.0,12.184967
United Kingdom,67530000.0,1.87,0.43,99.0,34.1,32145.08807378033,48.18455,2.221622899,81.321,12.9,10.0,39753.2438934915,94.7758006318882,99.2,0.2,100.0,100.0,,80.0,33.112384999999996
United States,329064992.0,1.9,0.66,99.0,41.0,79056.32772264755,43.727140000000006,0.23533278100000002,78.862,13.4,10.0,54225.4461231621,76.17673698284099,100.0,1.2,100.0,99.2,,71.0,27.011274
Uruguay,3462000.0,1.96,0.82,98.442101,41.7,16029.322050354009,35.53897,2.782269859,77.911,8.7,10.0,20551.4094200387,66.4,96.4,0.1,100.0,99.7,2.7,70.0,34.229076
Uzbekistan,32982000.0,2.21,2.25,99.995193,35.3,16508.526429081543,31.49705793,-0.588449175,71.725,11.5,-9.0,6253.10386034453,46.7912869407806,100.0,62.1,100.0,87.3,7.4,23.0,25.081174
Vanuatu,300000.0,3.17,2.69,85.058678,37.3,1850.6226330170489,25.2799693,2.312695773,70.47399999999999,6.8,,2921.90867553046,24.0,57.9,13.2,57.82,94.5,7.1,46.0,17.153035
Venezuela,28516000.0,2.25,3.09,95.39924599999999,46.9,26377.490872043443,41.460767,-1.434521081,72.064,10.3,4.0,16745.0219796981,60.0,94.4,10.2,99.6038360595703,93.1,11.7,18.0,20.279104999999998
Vietnam,96462000.0,1.94,2.09,94.514267,34.8,7617.218233458812,32.29421738,-0.373983921,75.4,8.2,-7.0,6171.8841923362,46.5,78.0,2.0,100.0,97.6,10.8,33.0,18.737607
Yemen,29162000.0,3.69,5.54,69.961952,36.7,3758.5030314366577,33.09941469,-2.108345997,66.125,3.0,0.0,1479.14700530618,24.579208363621103,53.3,18.8,71.64234924316409,54.9,34.4,14.0,7.038773
Zambia,17861000.0,4.81,6.0,85.117264,57.1,7388.882597152682,25.01366875,-0.043186178,63.886,7.0,7.0,3689.25082617978,25.5065788475702,43.9,57.5,27.219337463378896,65.4,44.5,35.0,12.970041
Zimbabwe,14645000.0,3.53,5.03,86.873482,43.2,8718.628485052912,35.99375193,-0.74135666,61.49,8.2,4.0,1899.7749771663398,23.11998904,36.8,21.4,38.1451377868652,76.9,46.6,22.0,27.182076000000002
